Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
138.00,+5.59%,5.00,7.35,9.70,5.97,-3.03,-33.67%,2,4,0.50,76.33%,Put,02/26/21
138.50,+5.98%,5.10,7.43,9.75,8.80,3.75,+74.26%,3,3,1.00,70.75%,Put,02/23/21
140.00,+7.12%,6.60,9.02,11.45,5.38,1.91,+55.04%,3,9,0.33,80.84%,Put,02/18/21
141.00,+7.89%,7.65,10.03,12.40,0.00,0.00,unch,0,0,0.00,84.14%,Put,N/A
141.50,+8.27%,8.00,10.43,12.85,0.00,0.00,unch,0,0,0.00,85.26%,Put,N/A
142.50,+9.04%,9.00,11.40,13.80,0.00,0.00,unch,0,0,0.00,88.32%,Put,N/A
143.00,+9.42%,9.40,11.20,13.00,11.75,0.01,+0.09%,1,2,0.50,61.33%,Put,02/25/21
145.00,+10.95%,11.50,13.95,16.40,10.00,0.20,+2.04%,5,10,0.50,99.92%,Put,02/22/21
150.00,+14.78%,16.50,18.93,21.35,18.25,1.60,+9.61%,1,1,1.00,116.81%,Put,01/27/21
155.00,+18.60%,21.50,23.95,26.40,0.00,0.00,unch,0,0,0.00,134.35%,Put,N/A
160.00,+22.43%,26.50,28.95,31.40,0.00,0.00,unch,0,0,0.00,149.66%,Put,N/A
165.00,+26.25%,31.50,33.93,36.35,0.00,0.00,unch,0,0,0.00,162.75%,Put,N/A
"Downloaded from Barchart.com as of 03-01-2021 08:08am CST"
