Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV","20D His Vol"
XLI|20210319|90.00C,XLI,90.00,+5.75%,4.80,6.40,8.00,5.85,0.14,+2.45%,27,"9,605",0.00,40.08%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|90.50C,XLI,90.50,+5.23%,2.63,5.06,7.50,4.70,2.32,+97.48%,10,8,1.25,25.42%,Call,7,03/19/21,03/09/21,27.40%,18.69%
XLI|20210319|91.00C,XLI,91.00,+4.70%,2.50,4.90,7.30,4.42,1.12,+33.94%,6,288,0.02,36.42%,Call,7,03/19/21,03/10/21,27.40%,18.69%
XLI|20210319|91.50C,XLI,91.50,+4.18%,2.00,4.43,6.85,4.10,-0.10,-2.38%,2,280,0.01,34.43%,Call,7,03/19/21,03/10/21,27.40%,18.69%
XLI|20210319|92.00C,XLI,92.00,+3.65%,1.50,3.95,6.40,4.20,0.40,+10.53%,8,"1,898",0.00,32.31%,Call,7,03/19/21,03/10/21,27.40%,18.69%
XLI|20210319|92.50C,XLI,92.50,+3.13%,1.05,3.50,5.95,3.35,1.47,+78.19%,15,35,0.43,30.71%,Call,7,03/19/21,03/08/21,27.40%,18.69%
XLI|20210319|93.00C,XLI,93.00,+2.61%,0.65,3.05,5.45,2.97,0.18,+6.45%,"1,368","4,206",0.33,26.95%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|93.50C,XLI,93.50,+2.08%,0.30,2.65,5.00,3.05,0.68,+28.69%,3,315,0.01,27.95%,Call,7,03/19/21,03/10/21,27.40%,18.69%
XLI|20210319|94.00C,XLI,94.00,+1.56%,0.10,1.60,3.10,2.58,0.25,+10.73%,15,"3,920",0.00,33.41%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|94.50C,XLI,94.50,+1.04%,0.20,2.60,5.00,1.99,-0.12,-5.69%,19,"1,652",0.01,27.73%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|95.00C,XLI,95.00,+0.51%,1.04,1.57,2.10,1.69,-0.13,-7.14%,216,"5,433",0.04,27.44%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|95.50C,XLI,95.50,-0.01%,0.07,1.05,2.03,1.62,0.07,+4.52%,6,525,0.01,31.02%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|96.00C,XLI,96.00,-0.53%,0.88,1.44,2.00,1.13,-0.15,-11.72%,198,244,0.81,26.09%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|96.50C,XLI,96.50,-1.06%,0.01,2.46,4.90,0.97,-0.18,-15.65%,210,"2,045",0.10,26.92%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|97.00C,XLI,97.00,-1.58%,0.05,2.50,4.95,0.83,-0.07,-7.78%,66,447,0.15,27.67%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|98.00C,XLI,98.00,-2.63%,0.15,0.65,1.16,0.49,-0.11,-18.33%,221,822,0.27,26.36%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|99.00C,XLI,99.00,-3.68%,0.02,0.20,0.38,0.33,-0.04,-10.81%,248,"2,501",0.10,27.31%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|100.00C,XLI,100.00,-4.72%,0.01,0.13,0.25,0.20,-0.03,-13.04%,21,"4,078",0.01,27.46%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|101.00C,XLI,101.00,-5.77%,0.01,2.51,5.00,0.10,-0.12,-54.55%,3,3,1.00,87.96%,Call,7,03/19/21,03/10/21,27.40%,18.69%
XLI|20210319|102.00C,XLI,102.00,-6.82%,0.08,0.09,0.10,0.11,-0.04,-26.67%,10,13,0.77,29.55%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|103.00C,XLI,103.00,-7.86%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,7,03/19/21,N/A,27.40%,18.69%
XLI|20210319|104.00C,XLI,104.00,-8.91%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,7,03/19/21,N/A,27.40%,18.69%
